stress_def,model,fold_id,n_train,n_test,auc,pr_auc,brier,ece,threshold,alarm_rate,alarm_precision,drawdown_lift,severity_lift,n_alarms,n_events,n_test_eff,seed,crisis,configuration,is_recovery,auc_full_window,auc_first30,auc_rest,n_train_rows_after_dropna,n_trees_built,calm_mean_score,calm_max_score
h20_d07,VIXPercentileRaw,1,2229,253,0.44351127473538887,0.19413999072516847,0.715529716830326,0.7531639172460753,0.9500224315836698,0.4980237154150198,0.12698412698412698,0.9669766080425028,1.166869119445341,126,41,253,46,crisis_2020,spx_full,False,0.44351127473538887,0.8842592592592592,0.560966939210807,1574,,0.6019377382465056,0.9104193138500636
h20_d07,VIXPercentileCalibrated,1,2229,253,0.40410722503451457,0.14924692174786441,0.1449647566231942,0.084301863260231,0.11981566820276497,0.31620553359683795,0.175,1.0925610927263152,1.1134698465873687,80,41,253,42,crisis_2020,spx_full,False,0.40410722503451457,0.6134259259259259,0.515286171347316,1574,,0.050640185059634864,0.08088235294117647
h20_d07,VIXPercentileCalibrated,1,2229,253,0.40410722503451457,0.14924692174786441,0.1449647566231942,0.084301863260231,0.11981566820276497,0.31620553359683795,0.175,1.0925610927263152,1.1134698465873687,80,41,253,43,crisis_2020,spx_full,False,0.40410722503451457,0.6134259259259259,0.515286171347316,1574,,0.050640185059634864,0.08088235294117647
h20_d07,VIXPercentileCalibrated,1,2229,253,0.40410722503451457,0.14924692174786441,0.1449647566231942,0.084301863260231,0.11981566820276497,0.31620553359683795,0.175,1.0925610927263152,1.1134698465873687,80,41,253,44,crisis_2020,spx_full,False,0.40410722503451457,0.6134259259259259,0.515286171347316,1574,,0.050640185059634864,0.08088235294117647
h20_d07,VIXPercentileCalibrated,1,2229,253,0.40410722503451457,0.14924692174786441,0.1449647566231942,0.084301863260231,0.11981566820276497,0.31620553359683795,0.175,1.0925610927263152,1.1134698465873687,80,41,253,45,crisis_2020,spx_full,False,0.40410722503451457,0.6134259259259259,0.515286171347316,1574,,0.050640185059634864,0.08088235294117647
h20_d07,VIXPercentileCalibrated,1,2229,253,0.40410722503451457,0.14924692174786441,0.1449647566231942,0.084301863260231,0.11981566820276497,0.31620553359683795,0.175,1.0925610927263152,1.1134698465873687,80,41,253,46,crisis_2020,spx_full,False,0.40410722503451457,0.6134259259259259,0.515286171347316,1574,,0.050640185059634864,0.08088235294117647
h20_d07,HarRvThreshold,1,2229,253,0.5242407355809418,0.2299285571384486,0.19218314678639548,0.17397320161767732,0.16171510280280088,0.30735930735930733,0.23943661971830985,1.429324025221415,1.1344366767771723,71,37,231,42,crisis_2020,spx_full,False,0.5242407355809418,0.10344827586206896,0.3487694300518135,1574,,0.05337018929775342,0.23045948485542084
h20_d07,HarRvThreshold,1,2229,253,0.5242407355809418,0.2299285571384486,0.19218314678639548,0.17397320161767732,0.16171510280280088,0.30735930735930733,0.23943661971830985,1.429324025221415,1.1344366767771723,71,37,231,43,crisis_2020,spx_full,False,0.5242407355809418,0.10344827586206896,0.3487694300518135,1574,,0.05337018929775342,0.23045948485542084
h20_d07,HarRvThreshold,1,2229,253,0.5242407355809418,0.2299285571384486,0.19218314678639548,0.17397320161767732,0.16171510280280088,0.30735930735930733,0.23943661971830985,1.429324025221415,1.1344366767771723,71,37,231,44,crisis_2020,spx_full,False,0.5242407355809418,0.10344827586206896,0.3487694300518135,1574,,0.05337018929775342,0.23045948485542084
h20_d07,HarRvThreshold,1,2229,253,0.5242407355809418,0.2299285571384486,0.19218314678639548,0.17397320161767732,0.16171510280280088,0.30735930735930733,0.23943661971830985,1.429324025221415,1.1344366767771723,71,37,231,45,crisis_2020,spx_full,False,0.5242407355809418,0.10344827586206896,0.3487694300518135,1574,,0.05337018929775342,0.23045948485542084
