stress_def,outer_fold,params,fold0_pr_auc,fold1_pr_auc,fold2_pr_auc,mean_score
h5_d03,1,"{""learning_rate"": 0.01, ""max_depth"": 2, ""min_child_samples"": 20, ""n_estimators"": 500, ""num_leaves"": 31, ""reg_alpha"": 0.0, ""reg_lambda"": 10.0}",0.029072006160954948,0.014084507042253521,0.18627014272185136,0.07647555197501994
h5_d03,1,"{""learning_rate"": 0.01, ""max_depth"": 2, ""min_child_samples"": 20, ""n_estimators"": 500, ""num_leaves"": 31, ""reg_alpha"": 2.0, ""reg_lambda"": 0.0}",0.03003663003663004,0.019230769230769232,0.15705846936665963,0.0687752895446863
h5_d03,1,"{""learning_rate"": 0.01, ""max_depth"": 2, ""min_child_samples"": 20, ""n_estimators"": 500, ""num_leaves"": 31, ""reg_alpha"": 2.0, ""reg_lambda"": 10.0}",0.028722600151171576,0.014925373134328358,0.1667818901056921,0.07014328779706401
h5_d03,1,"{""learning_rate"": 0.01, ""max_depth"": 2, ""min_child_samples"": 80, ""n_estimators"": 50, ""num_leaves"": 5, ""reg_alpha"": 0.0, ""reg_lambda"": 0.0}",0.03636363636363636,0.014925373134328358,0.17157905968506412,0.07428935639434295
h5_d03,1,"{""learning_rate"": 0.01, ""max_depth"": 2, ""min_child_samples"": 80, ""n_estimators"": 50, ""num_leaves"": 5, ""reg_alpha"": 0.0, ""reg_lambda"": 10.0}",0.03636363636363636,0.013888888888888888,0.16586037226257178,0.07203763250503234
h5_d03,1,"{""learning_rate"": 0.01, ""max_depth"": 2, ""min_child_samples"": 80, ""n_estimators"": 50, ""num_leaves"": 5, ""reg_alpha"": 2.0, ""reg_lambda"": 0.0}",0.03636363636363636,0.014492753623188406,0.1759094809440007,0.07558862364360848
h5_d03,1,"{""learning_rate"": 0.01, ""max_depth"": 2, ""min_child_samples"": 80, ""n_estimators"": 50, ""num_leaves"": 5, ""reg_alpha"": 2.0, ""reg_lambda"": 10.0}",0.03636363636363636,0.013888888888888888,0.15825612385082516,0.06950288303445014
h5_d03,1,"{""learning_rate"": 0.01, ""max_depth"": 2, ""min_child_samples"": 80, ""n_estimators"": 50, ""num_leaves"": 15, ""reg_alpha"": 0.0, ""reg_lambda"": 0.0}",0.03636363636363636,0.014925373134328358,0.17157905968506412,0.07428935639434295
h5_d03,1,"{""learning_rate"": 0.01, ""max_depth"": 2, ""min_child_samples"": 80, ""n_estimators"": 50, ""num_leaves"": 15, ""reg_alpha"": 0.0, ""reg_lambda"": 10.0}",0.03636363636363636,0.013888888888888888,0.16586037226257178,0.07203763250503234
h5_d03,1,"{""learning_rate"": 0.01, ""max_depth"": 2, ""min_child_samples"": 80, ""n_estimators"": 50, ""num_leaves"": 15, ""reg_alpha"": 2.0, ""reg_lambda"": 0.0}",0.03636363636363636,0.014492753623188406,0.1759094809440007,0.07558862364360848
h5_d03,1,"{""learning_rate"": 0.01, ""max_depth"": 2, ""min_child_samples"": 80, ""n_estimators"": 50, ""num_leaves"": 15, ""reg_alpha"": 2.0, ""reg_lambda"": 10.0}",0.03636363636363636,0.013888888888888888,0.15825612385082516,0.06950288303445014
h5_d03,1,"{""learning_rate"": 0.01, ""max_depth"": 2, ""min_child_samples"": 80, ""n_estimators"": 50, ""num_leaves"": 31, ""reg_alpha"": 0.0, ""reg_lambda"": 0.0}",0.03636363636363636,0.014925373134328358,0.17157905968506412,0.07428935639434295
h5_d03,1,"{""learning_rate"": 0.01, ""max_depth"": 2, ""min_child_samples"": 80, ""n_estimators"": 50, ""num_leaves"": 31, ""reg_alpha"": 0.0, ""reg_lambda"": 10.0}",0.03636363636363636,0.013888888888888888,0.16586037226257178,0.07203763250503234
h5_d03,1,"{""learning_rate"": 0.01, ""max_depth"": 2, ""min_child_samples"": 80, ""n_estimators"": 50, ""num_leaves"": 31, ""reg_alpha"": 2.0, ""reg_lambda"": 0.0}",0.03636363636363636,0.014492753623188406,0.1759094809440007,0.07558862364360848
h5_d03,1,"{""learning_rate"": 0.01, ""max_depth"": 2, ""min_child_samples"": 80, ""n_estimators"": 50, ""num_leaves"": 31, ""reg_alpha"": 2.0, ""reg_lambda"": 10.0}",0.03636363636363636,0.013888888888888888,0.15825612385082516,0.06950288303445014
h5_d03,1,"{""learning_rate"": 0.01, ""max_depth"": 2, ""min_child_samples"": 80, ""n_estimators"": 200, ""num_leaves"": 5, ""reg_alpha"": 0.0, ""reg_lambda"": 0.0}",0.03636363636363636,0.014492753623188406,0.22274624194867532,0.09120087731183336
h5_d03,1,"{""learning_rate"": 0.01, ""max_depth"": 2, ""min_child_samples"": 80, ""n_estimators"": 200, ""num_leaves"": 5, ""reg_alpha"": 0.0, ""reg_lambda"": 10.0}",0.03636363636363636,0.014705882352941176,0.19761158021167852,0.08289369964275202
h5_d03,1,"{""learning_rate"": 0.01, ""max_depth"": 2, ""min_child_samples"": 80, ""n_estimators"": 200, ""num_leaves"": 5, ""reg_alpha"": 2.0, ""reg_lambda"": 0.0}",0.03636363636363636,0.014705882352941176,0.232556489596087,0.09454200277088819
h5_d03,1,"{""learning_rate"": 0.01, ""max_depth"": 2, ""min_child_samples"": 80, ""n_estimators"": 200, ""num_leaves"": 5, ""reg_alpha"": 2.0, ""reg_lambda"": 10.0}",0.03636363636363636,0.014492753623188406,0.1980260684347737,0.08296081947386615
h5_d03,1,"{""learning_rate"": 0.01, ""max_depth"": 2, ""min_child_samples"": 80, ""n_estimators"": 200, ""num_leaves"": 15, ""reg_alpha"": 0.0, ""reg_lambda"": 0.0}",0.03636363636363636,0.014492753623188406,0.22274624194867532,0.09120087731183336
h5_d03,1,"{""learning_rate"": 0.01, ""max_depth"": 2, ""min_child_samples"": 80, ""n_estimators"": 200, ""num_leaves"": 15, ""reg_alpha"": 0.0, ""reg_lambda"": 10.0}",0.03636363636363636,0.014705882352941176,0.19761158021167852,0.08289369964275202
h5_d03,1,"{""learning_rate"": 0.01, ""max_depth"": 2, ""min_child_samples"": 80, ""n_estimators"": 200, ""num_leaves"": 15, ""reg_alpha"": 2.0, ""reg_lambda"": 0.0}",0.03636363636363636,0.014705882352941176,0.232556489596087,0.09454200277088819
h5_d03,1,"{""learning_rate"": 0.01, ""max_depth"": 2, ""min_child_samples"": 80, ""n_estimators"": 200, ""num_leaves"": 15, ""reg_alpha"": 2.0, ""reg_lambda"": 10.0}",0.03636363636363636,0.014492753623188406,0.1980260684347737,0.08296081947386615
h5_d03,1,"{""learning_rate"": 0.01, ""max_depth"": 2, ""min_child_samples"": 80, ""n_estimators"": 200, ""num_leaves"": 31, ""reg_alpha"": 0.0, ""reg_lambda"": 0.0}",0.03636363636363636,0.014492753623188406,0.22274624194867532,0.09120087731183336
h5_d03,1,"{""learning_rate"": 0.01, ""max_depth"": 2, ""min_child_samples"": 80, ""n_estimators"": 200, ""num_leaves"": 31, ""reg_alpha"": 0.0, ""reg_lambda"": 10.0}",0.03636363636363636,0.014705882352941176,0.19761158021167852,0.08289369964275202
h5_d03,1,"{""learning_rate"": 0.01, ""max_depth"": 2, ""min_child_samples"": 80, ""n_estimators"": 200, ""num_leaves"": 31, ""reg_alpha"": 2.0, ""reg_lambda"": 0.0}",0.03636363636363636,0.014705882352941176,0.232556489596087,0.09454200277088819
h5_d03,1,"{""learning_rate"": 0.01, ""max_depth"": 2, ""min_child_samples"": 80, ""n_estimators"": 200, ""num_leaves"": 31, ""reg_alpha"": 2.0, ""reg_lambda"": 10.0}",0.03636363636363636,0.014492753623188406,0.1980260684347737,0.08296081947386615
h5_d03,1,"{""learning_rate"": 0.01, ""max_depth"": 2, ""min_child_samples"": 80, ""n_estimators"": 500, ""num_leaves"": 5, ""reg_alpha"": 0.0, ""reg_lambda"": 0.0}",0.03636363636363636,0.017543859649122806,0.16743200535993863,0.07377983379089927
h5_d03,1,"{""learning_rate"": 0.01, ""max_depth"": 2, ""min_child_samples"": 80, ""n_estimators"": 500, ""num_leaves"": 5, ""reg_alpha"": 0.0, ""reg_lambda"": 10.0}",0.03636363636363636,0.01639344262295082,0.17954032136745618,0.07743246678468112
h5_d03,1,"{""learning_rate"": 0.01, ""max_depth"": 2, ""min_child_samples"": 80, ""n_estimators"": 500, ""num_leaves"": 5, ""reg_alpha"": 2.0, ""reg_lambda"": 0.0}",0.03636363636363636,0.01639344262295082,0.18417826329553416,0.07897844742737378
h5_d03,1,"{""learning_rate"": 0.01, ""max_depth"": 2, ""min_child_samples"": 80, ""n_estimators"": 500, ""num_leaves"": 5, ""reg_alpha"": 2.0, ""reg_lambda"": 10.0}",0.03636363636363636,0.01639344262295082,0.19940134342783464,0.08405280747147394
