ablation,model,metric,delta_mean,delta_ci_low,delta_ci_high,wilcoxon_pvalue,n_folds_paired,effect_size_category,interpretation
global_scaler,VIXPercentileCalibrated,drawdown_lift,-5.551115123125783e-18,-2.886579864025407e-17,1.5543122344752193e-17,0.7737449764627036,25,negligible,no_effect_by_construction
global_scaler,VIXPercentileRaw,drawdown_lift,1.3877787807814457e-17,7.771561172376098e-18,2.0539125955565402e-17,0.0003964142260765,50,negligible,no_effect_by_construction
global_scaler,HarRvThreshold,alarm_rate,7.885106708985487e-18,5.519574696289841e-18,1.0408340855860844e-17,1.831207905674445e-07,110,negligible,no_effect_by_construction
global_scaler,LightGbmTuned,alarm_rate,2.168404344971009e-17,1.5651060694368526e-17,2.808324560553565e-17,1.2635706855775344e-07,90,negligible,no_effect_by_construction
global_scaler,LogisticRegressionL2,alarm_rate,-0.0033491131019705,-0.0081328026061464,0.0009068691711647,0.3709885143716406,90,small,expected_effect
global_scaler,NaiveBaseRate,alarm_rate,0.0,0.0,0.0,1.0,110,negligible,no_effect_by_construction
global_scaler,VIXPercentileCalibrated,alarm_rate,6.2292343000985344e-18,2.4916937200394137e-18,1.0566042990040552e-17,0.003991514414328,110,negligible,no_effect_by_construction
global_scaler,VIXPercentileRaw,alarm_rate,1.8214596497756478e-17,1.2064213264747794e-17,2.472769463937849e-17,9.981221125389758e-06,110,negligible,no_effect_by_construction
global_scaler,HarRvThreshold,calm_period_alarm_rate,6.0715321659188256e-18,2.8333816774287853e-18,9.71445146547012e-18,0.003991514414328,60,negligible,no_effect_by_construction
global_scaler,LightGbmTuned,calm_period_alarm_rate,1.1757570226065027e-17,5.51256571254852e-18,1.888921118285857e-17,0.003991514414328,45,negligible,no_effect_by_construction
global_scaler,LogisticRegressionL2,calm_period_alarm_rate,0.000952949877681,-0.004042214257268,0.0061387039881663,0.2501771730662782,45,negligible,expected_effect
global_scaler,NaiveBaseRate,calm_period_alarm_rate,0.0,0.0,0.0,1.0,50,negligible,no_effect_by_construction
global_scaler,VIXPercentileCalibrated,calm_period_alarm_rate,0.0,0.0,0.0,1.0,50,negligible,no_effect_by_construction
global_scaler,VIXPercentileRaw,calm_period_alarm_rate,0.0,0.0,0.0,1.0,50,negligible,no_effect_by_construction
test_threshold,HarRvThreshold,auc,2.220446049250313e-17,1.4432899320127036e-17,2.997602166487923e-17,7.74421643104407e-06,50,negligible,no_effect_by_construction
test_threshold,LightGbmTuned,auc,1.2335811384723961e-17,6.167905692361981e-18,1.973729821555834e-17,0.0015654022580025,45,negligible,no_effect_by_construction
test_threshold,LogisticRegressionL2,auc,1.2335811384723961e-17,6.167905692361981e-18,1.973729821555834e-17,0.0015654022580025,45,negligible,no_effect_by_construction
test_threshold,NaiveBaseRate,auc,0.0,0.0,0.0,1.0,60,negligible,no_effect_by_construction
test_threshold,VIXPercentileCalibrated,auc,9.251858538542969e-18,4.625929269271485e-18,1.4802973661668754e-17,0.0015654022580025,60,negligible,no_effect_by_construction
test_threshold,VIXPercentileRaw,auc,1.61907524424502e-17,1.0177044392397269e-17,2.220446049250313e-17,3.5592816489558494e-05,60,negligible,no_effect_by_construction
test_threshold,HarRvThreshold,pr_auc,3.50414142147315e-17,2.518818487118324e-17,4.517219931443606e-17,1.607505526400268e-06,50,negligible,no_effect_by_construction
test_threshold,LightGbmTuned,pr_auc,4.009138700035288e-17,3.4231876592608995e-17,4.5642502123478656e-17,1.3134126865324568e-08,45,negligible,no_effect_by_construction
test_threshold,LogisticRegressionL2,pr_auc,5.1656210173531584e-17,4.332953748884292e-17,5.998288285822026e-17,2.034876435461467e-08,45,negligible,no_effect_by_construction
test_threshold,NaiveBaseRate,pr_auc,3.353798720221827e-17,2.463307335887066e-17,4.278984574076125e-17,2.1892079240620602e-07,60,negligible,no_effect_by_construction
test_threshold,VIXPercentileCalibrated,pr_auc,3.23815048849004e-17,2.4980018054066026e-17,4.001428817919835e-17,2.9474690399457983e-08,60,negligible,no_effect_by_construction
test_threshold,VIXPercentileRaw,pr_auc,4.510281037539698e-17,3.874215763014869e-17,5.088522196198634e-17,2.456895084695567e-10,60,negligible,no_effect_by_construction
test_threshold,HarRvThreshold,brier,2.3164349029529786e-17,1.8917547600622917e-17,2.7503914426700145e-17,1.2185394354162648e-14,110,negligible,no_effect_by_construction
test_threshold,LightGbmTuned,brier,3.7296554733501346e-17,3.135994550460295e-17,4.333001935647513e-17,2.4989895140635484e-13,90,negligible,no_effect_by_construction
test_threshold,LogisticRegressionL2,brier,3.450172246664983e-17,2.8796409701215e-17,4.01684858215074e-17,7.71775905546604e-12,90,negligible,no_effect_by_construction
test_threshold,NaiveBaseRate,brier,4.746834238809263e-17,4.135728612479501e-17,5.350054758430039e-17,2.4080052565110808e-17,110,negligible,no_effect_by_construction
test_threshold,VIXPercentileCalibrated,brier,4.921045815160911e-17,4.3520774598552135e-17,5.499574862351253e-17,3.574668494589445e-18,110,negligible,no_effect_by_construction
test_threshold,VIXPercentileRaw,brier,1.892425610156517e-17,1.3972409088322286e-17,2.4128426529495588e-17,3.442281637229628e-09,110,negligible,no_effect_by_construction
test_threshold,HarRvThreshold,drawdown_lift,0.1954262864784457,0.0649604420996066,0.3316309654081075,0.0279004373129588,50,large,paper_relevant_finding
test_threshold,LightGbmTuned,drawdown_lift,-0.1542687995599362,-0.2772594844164371,-0.0334626930760344,0.0073203018805488,60,large,paper_relevant_finding
test_threshold,LogisticRegressionL2,drawdown_lift,0.0160018659596348,-0.1425233938148143,0.1683814578683668,0.2201416063105749,70,medium,expected_effect
test_threshold,NaiveBaseRate,drawdown_lift,,,,1.0,0,negligible,no_effect_by_construction
test_threshold,VIXPercentileCalibrated,drawdown_lift,0.0836209348209146,0.0023019585986238,0.1713800740101933,0.2501771730662782,20,large,expected_effect
test_threshold,VIXPercentileRaw,drawdown_lift,-0.065200294915155,-0.1071400367810487,-0.0249939818601002,0.0019542464542408,45,large,expected_effect
test_threshold,HarRvThreshold,alarm_rate,-0.0154158363900604,-0.0450438904412843,0.009586651241815,0.1815117371390351,110,medium,expected_effect
test_threshold,LightGbmTuned,alarm_rate,0.03697328372731,0.0214738705613181,0.0549848465517963,1.256885314445929e-07,90,medium,expected_effect
test_threshold,LogisticRegressionL2,alarm_rate,0.0091444634123472,-0.0120101717716897,0.0314781245636306,0.5001755775782759,90,small,expected_effect
test_threshold,NaiveBaseRate,alarm_rate,0.0,0.0,0.0,1.0,110,negligible,no_effect_by_construction
test_threshold,VIXPercentileCalibrated,alarm_rate,-0.0021537857621169,-0.0271876344525849,0.0183215853370234,3.3635004275591743e-09,110,small,expected_effect
test_threshold,VIXPercentileRaw,alarm_rate,0.0032869259753231,-0.0278140359662055,0.0284673987529328,3.487079538500696e-08,110,small,expected_effect
test_threshold,HarRvThreshold,calm_period_alarm_rate,0.0555052528853214,0.0539281999767793,0.0569330992354621,1.2361786628673118e-11,60,large,expected_effect
test_threshold,LightGbmTuned,calm_period_alarm_rate,0.0537999470496295,0.0240757816697644,0.0884063827908608,0.0011416071426307,45,large,paper_relevant_finding
test_threshold,LogisticRegressionL2,calm_period_alarm_rate,0.0231869484056428,-0.0159007967149267,0.0645547654795838,0.2704107479142178,45,medium,expected_effect
test_threshold,NaiveBaseRate,calm_period_alarm_rate,0.0,0.0,0.0,1.0,50,negligible,no_effect_by_construction
test_threshold,VIXPercentileCalibrated,calm_period_alarm_rate,0.034225150888397,0.0290813042563227,0.0391046963726308,4.429594102949833e-09,50,medium,expected_effect
test_threshold,VIXPercentileRaw,calm_period_alarm_rate,0.0542264724973894,0.0527766600626534,0.0554535591962295,5.574587318225106e-10,50,large,expected_effect
frozen_model,HarRvThreshold,auc,-0.0202236251385395,-0.0270377800436724,-0.0141827060971821,1.785833757324279e-09,50,medium,expected_effect
frozen_model,LightGbmTuned,auc,-0.0695913277870716,-0.1222774327912072,-0.0163643046483689,0.0085856835853051,45,large,expected_effect
frozen_model,LogisticRegressionL2,auc,0.1106434356068187,0.0271928558512728,0.1931420857106263,0.0255823512957906,45,large,expected_effect
frozen_model,NaiveBaseRate,auc,0.0,0.0,0.0,1.0,60,negligible,no_effect_by_construction
frozen_model,VIXPercentileCalibrated,auc,-0.0004682704120259,-0.0100521070748888,0.0087045344728477,0.8667933754906656,60,negligible,expected_effect
frozen_model,VIXPercentileRaw,auc,-0.0001268449726447,-0.0003369775686863,7.748269214063531e-05,0.2769214546562139,60,negligible,expected_effect
frozen_model,HarRvThreshold,pr_auc,-0.0050761494900413,-0.008034481699118,-0.0025136336922059,9.800522884805816e-06,50,small,expected_effect
frozen_model,LightGbmTuned,pr_auc,-0.0442190342124605,-0.0809287966785811,-0.0101003789931738,0.1072262444599013,45,medium,expected_effect
frozen_model,LogisticRegressionL2,pr_auc,-0.0020161263053003,-0.0451237035297228,0.0367602973764312,0.2243070570008664,45,small,expected_effect
frozen_model,NaiveBaseRate,pr_auc,3.353798720221827e-17,2.463307335887066e-17,4.278984574076125e-17,2.1892079240620602e-07,60,negligible,no_effect_by_construction
frozen_model,VIXPercentileCalibrated,pr_auc,0.0010624399991746,-0.0017899834587235,0.0039227406334134,1.0,60,small,expected_effect
frozen_model,VIXPercentileRaw,pr_auc,-6.186265601357786e-06,-0.000115518832151,0.0001126331932693,0.2178634800186059,60,negligible,expected_effect
frozen_model,HarRvThreshold,brier,-0.0010806556578947,-0.0033914447467149,0.0011526299585688,0.0119639995032612,110,small,expected_effect
frozen_model,LightGbmTuned,brier,-0.0355139003579082,-0.049114500362068,-0.0218496669730701,6.855987838141374e-06,90,medium,expected_effect
frozen_model,LogisticRegressionL2,brier,-0.0228060091039264,-0.0433785626046251,-0.0009920170345868,0.0153018064198108,90,medium,expected_effect
frozen_model,NaiveBaseRate,brier,-0.0001906796007567,-0.0005868382035303,0.0002154447138475,0.0105291267463195,110,negligible,expected_effect
frozen_model,VIXPercentileCalibrated,brier,0.0007142662316583,-2.0992460647278943e-05,0.0014263157711368,0.2185096764391954,110,negligible,expected_effect
frozen_model,VIXPercentileRaw,brier,0.0051058342649584,-0.0020853885280645,0.0122979667946758,0.3099821271181114,110,small,expected_effect
frozen_model,HarRvThreshold,drawdown_lift,0.0428922854312152,-0.0173926556223959,0.1107881095807744,0.9345762282621116,45,medium,expected_effect
frozen_model,LightGbmTuned,drawdown_lift,-0.5401880431577043,-0.8210242429700144,-0.2830228242708139,0.0009700100531511,45,large,paper_relevant_finding
frozen_model,LogisticRegressionL2,drawdown_lift,-0.2793009364183875,-0.4515878388002256,-0.107674577686482,0.0034609335365183,55,large,paper_relevant_finding
frozen_model,NaiveBaseRate,drawdown_lift,,,,1.0,0,negligible,no_effect_by_construction
frozen_model,VIXPercentileCalibrated,drawdown_lift,-1.8503717077085938e-17,-5.551115123125783e-17,1.4802973661668754e-17,0.1906835034469295,15,negligible,no_effect_by_construction
frozen_model,VIXPercentileRaw,drawdown_lift,0.000497682516487,9.953650329742325e-05,0.0008958285296766,6.55566199986336e-05,50,negligible,expected_effect
frozen_model,HarRvThreshold,alarm_rate,-0.0034925834683116,-0.0055133806323126,-0.0016592660979796,0.0217142829060139,110,small,expected_effect
frozen_model,LightGbmTuned,alarm_rate,0.0235407011766007,0.0127480857282824,0.0345083048947418,0.000181961919679,90,medium,expected_effect
