crisis,configuration,stress_def,model,seed,n_train,n_test,auc,auc_full_window,auc_first30,auc_rest,pr_auc,brier,ece,alarm_rate,alarm_precision,drawdown_lift,severity_lift,n_alarms,n_events,n_train_rows_after_dropna,n_trees_built,calm_mean_score,calm_max_score
crisis_2008,spx_crisis_2008,h10_d05,VIXPercentileCalibrated,46,251,505,0.5,0.5,0.5,0.5,0.23366336633663368,0.18677891226622664,0.08783003300330033,0.0,,,,0,118,231,,0.1458333333333334,0.14583333333333334
crisis_2008,spx_crisis_2008,h10_d05,HarRvThreshold,42,251,505,0.7235802469135801,0.7235802469135801,0.20192307692307693,0.7326702666960546,0.3933675499063352,0.39501877158559,0.47307294483928974,0.4451345755693582,0.3627906976744186,1.4503809324074635,1.1351626995095656,215,108,231,,0.4377769247890859,1.0
crisis_2008,spx_crisis_2008,h10_d05,HarRvThreshold,43,251,505,0.7235802469135801,0.7235802469135801,0.20192307692307693,0.7326702666960546,0.3933675499063352,0.39501877158559,0.47307294483928974,0.4451345755693582,0.3627906976744186,1.4503809324074635,1.1351626995095656,215,108,231,,0.4377769247890859,1.0
crisis_2008,spx_crisis_2008,h10_d05,HarRvThreshold,44,251,505,0.7235802469135801,0.7235802469135801,0.20192307692307693,0.7326702666960546,0.3933675499063352,0.39501877158559,0.47307294483928974,0.4451345755693582,0.3627906976744186,1.4503809324074635,1.1351626995095656,215,108,231,,0.4377769247890859,1.0
crisis_2008,spx_crisis_2008,h10_d05,HarRvThreshold,45,251,505,0.7235802469135801,0.7235802469135801,0.20192307692307693,0.7326702666960546,0.3933675499063352,0.39501877158559,0.47307294483928974,0.4451345755693582,0.3627906976744186,1.4503809324074635,1.1351626995095656,215,108,231,,0.4377769247890859,1.0
crisis_2008,spx_crisis_2008,h10_d05,HarRvThreshold,46,251,505,0.7235802469135801,0.7235802469135801,0.20192307692307693,0.7326702666960546,0.3933675499063352,0.39501877158559,0.47307294483928974,0.4451345755693582,0.3627906976744186,1.4503809324074635,1.1351626995095656,215,108,231,,0.4377769247890859,1.0
crisis_2008,spx_crisis_2008,h10_d05,LogisticRegressionL2,42,251,505,0.322165287084483,0.322165287084483,0.5800000000000001,0.31607629427792916,0.174029672825147,0.3043066218246747,0.2989907536515372,0.06930693069306931,0.08571428571428572,0.5956438268834588,1.1280630739164927,35,118,231,,0.3544115688544486,0.822854743076962
crisis_2008,spx_crisis_2008,h10_d05,LogisticRegressionL2,43,251,505,0.322165287084483,0.322165287084483,0.5800000000000001,0.31607629427792916,0.174029672825147,0.3043066218246747,0.2989907536515372,0.06930693069306931,0.08571428571428572,0.5956438268834588,1.1280630739164927,35,118,231,,0.3544115688544486,0.822854743076962
crisis_2008,spx_crisis_2008,h10_d05,LogisticRegressionL2,44,251,505,0.322165287084483,0.322165287084483,0.5800000000000001,0.31607629427792916,0.174029672825147,0.3043066218246747,0.2989907536515372,0.06930693069306931,0.08571428571428572,0.5956438268834588,1.1280630739164927,35,118,231,,0.3544115688544486,0.822854743076962
crisis_2008,spx_crisis_2008,h10_d05,LogisticRegressionL2,45,251,505,0.322165287084483,0.322165287084483,0.5800000000000001,0.31607629427792916,0.174029672825147,0.3043066218246747,0.2989907536515372,0.06930693069306931,0.08571428571428572,0.5956438268834588,1.1280630739164927,35,118,231,,0.3544115688544486,0.822854743076962
crisis_2008,spx_crisis_2008,h10_d05,LogisticRegressionL2,46,251,505,0.322165287084483,0.322165287084483,0.5800000000000001,0.31607629427792916,0.174029672825147,0.3043066218246747,0.2989907536515372,0.06930693069306931,0.08571428571428572,0.5956438268834588,1.1280630739164927,35,118,231,,0.3544115688544486,0.822854743076962
crisis_2008,spx_crisis_2008,h10_d05,LightGbmTuned,42,251,505,0.40625410589935623,0.40625410589935623,0.42500000000000004,0.410535876475931,0.23228233811849613,0.23923150298137497,0.23863312103754308,0.0,,,,0,118,231,50.0,0.4856856377689819,0.5824544430334777
crisis_2008,spx_crisis_2008,h10_d05,LightGbmTuned,43,251,505,0.40625410589935623,0.40625410589935623,0.42500000000000004,0.410535876475931,0.23228233811849613,0.23923150298137497,0.23863312103754308,0.0,,,,0,118,231,50.0,0.4856856377689819,0.5824544430334777
