corruption_type,rate,model,metric,delta_mean,delta_ci_low,delta_ci_high,wilcoxon_pvalue,n_pairs
extreme_jumps,0.1,LightGbmTuned,drawdown_lift,0.0,0.0,0.0,1.0,295
extreme_jumps,0.1,LightGbmTuned,pr_auc,0.0,0.0,0.0,1.0,260
extreme_jumps,0.1,LogisticRegressionL2,alarm_rate,0.0,0.0,0.0,1.0,450
extreme_jumps,0.1,LogisticRegressionL2,auc,0.0,0.0,0.0,1.0,260
extreme_jumps,0.1,LogisticRegressionL2,brier,0.0,0.0,0.0,1.0,450
extreme_jumps,0.1,LogisticRegressionL2,drawdown_lift,0.0,0.0,0.0,1.0,360
extreme_jumps,0.1,LogisticRegressionL2,pr_auc,0.0,0.0,0.0,1.0,260
missing_values,0.01,LightGbmTuned,alarm_rate,,,,1.0,0
missing_values,0.01,LightGbmTuned,auc,,,,1.0,0
missing_values,0.01,LightGbmTuned,brier,,,,1.0,0
missing_values,0.01,LightGbmTuned,drawdown_lift,,,,1.0,0
missing_values,0.01,LightGbmTuned,pr_auc,,,,1.0,0
missing_values,0.01,LogisticRegressionL2,alarm_rate,,,,1.0,0
missing_values,0.01,LogisticRegressionL2,auc,,,,1.0,0
missing_values,0.01,LogisticRegressionL2,brier,,,,1.0,0
missing_values,0.01,LogisticRegressionL2,drawdown_lift,,,,1.0,0
missing_values,0.01,LogisticRegressionL2,pr_auc,,,,1.0,0
missing_values,0.05,LightGbmTuned,alarm_rate,,,,1.0,0
missing_values,0.05,LightGbmTuned,auc,,,,1.0,0
missing_values,0.05,LightGbmTuned,brier,,,,1.0,0
missing_values,0.05,LightGbmTuned,drawdown_lift,,,,1.0,0
missing_values,0.05,LightGbmTuned,pr_auc,,,,1.0,0
missing_values,0.05,LogisticRegressionL2,alarm_rate,,,,1.0,0
missing_values,0.05,LogisticRegressionL2,auc,,,,1.0,0
missing_values,0.05,LogisticRegressionL2,brier,,,,1.0,0
missing_values,0.05,LogisticRegressionL2,drawdown_lift,,,,1.0,0
missing_values,0.05,LogisticRegressionL2,pr_auc,,,,1.0,0
missing_values,0.1,LightGbmTuned,alarm_rate,,,,1.0,0
missing_values,0.1,LightGbmTuned,auc,,,,1.0,0
missing_values,0.1,LightGbmTuned,brier,,,,1.0,0
missing_values,0.1,LightGbmTuned,drawdown_lift,,,,1.0,0
missing_values,0.1,LightGbmTuned,pr_auc,,,,1.0,0
missing_values,0.1,LogisticRegressionL2,alarm_rate,,,,1.0,0
missing_values,0.1,LogisticRegressionL2,auc,,,,1.0,0
missing_values,0.1,LogisticRegressionL2,brier,,,,1.0,0
missing_values,0.1,LogisticRegressionL2,drawdown_lift,,,,1.0,0
missing_values,0.1,LogisticRegressionL2,pr_auc,,,,1.0,0
stale_quotes,0.01,LightGbmTuned,alarm_rate,0.0,0.0,0.0,1.0,450
stale_quotes,0.01,LightGbmTuned,auc,0.0,0.0,0.0,1.0,225
stale_quotes,0.01,LightGbmTuned,brier,0.0,0.0,0.0,1.0,450
stale_quotes,0.01,LightGbmTuned,drawdown_lift,0.0,0.0,0.0,1.0,300
stale_quotes,0.01,LightGbmTuned,pr_auc,0.0,0.0,0.0,1.0,225
stale_quotes,0.01,LogisticRegressionL2,alarm_rate,0.0,0.0,0.0,1.0,450
stale_quotes,0.01,LogisticRegressionL2,auc,0.0,0.0,0.0,1.0,225
stale_quotes,0.01,LogisticRegressionL2,brier,0.0,0.0,0.0,1.0,450
stale_quotes,0.01,LogisticRegressionL2,drawdown_lift,0.0,0.0,0.0,1.0,355
