corruption_type,rate,model,metric,n_obs,n_both_valid,n_enabled_only_valid,n_silenced_only_valid,n_both_nan,enabled_valid_rate,silenced_valid_rate,branch_failure_rate
extreme_jumps,0.1,LogisticRegressionL2,brier,550,450,0,0,100,0.8181818181818182,0.8181818181818182,0.0
extreme_jumps,0.1,LogisticRegressionL2,drawdown_lift,550,360,0,0,190,0.6545454545454545,0.6545454545454545,0.0
extreme_jumps,0.1,LogisticRegressionL2,pr_auc,550,260,0,0,290,0.4727272727272727,0.4727272727272727,0.0
missing_values,0.01,LightGbmTuned,alarm_rate,550,0,450,0,100,0.8181818181818182,0.0,0.8181818181818182
missing_values,0.01,LightGbmTuned,auc,550,0,205,0,345,0.37272727272727274,0.0,0.37272727272727274
missing_values,0.01,LightGbmTuned,brier,550,0,450,0,100,0.8181818181818182,0.0,0.8181818181818182
missing_values,0.01,LightGbmTuned,drawdown_lift,550,0,280,0,270,0.509090909090909,0.0,0.509090909090909
missing_values,0.01,LightGbmTuned,pr_auc,550,0,205,0,345,0.37272727272727274,0.0,0.37272727272727274
missing_values,0.01,LogisticRegressionL2,alarm_rate,550,0,450,0,100,0.8181818181818182,0.0,0.8181818181818182
missing_values,0.01,LogisticRegressionL2,auc,550,0,205,0,345,0.37272727272727274,0.0,0.37272727272727274
missing_values,0.01,LogisticRegressionL2,brier,550,0,450,0,100,0.8181818181818182,0.0,0.8181818181818182
missing_values,0.01,LogisticRegressionL2,drawdown_lift,550,0,320,0,230,0.5818181818181818,0.0,0.5818181818181818
missing_values,0.01,LogisticRegressionL2,pr_auc,550,0,205,0,345,0.37272727272727274,0.0,0.37272727272727274
missing_values,0.05,LightGbmTuned,alarm_rate,550,0,425,0,125,0.7727272727272727,0.0,0.7727272727272727
missing_values,0.05,LightGbmTuned,auc,550,0,235,0,315,0.42727272727272725,0.0,0.42727272727272725
missing_values,0.05,LightGbmTuned,brier,550,0,425,0,125,0.7727272727272727,0.0,0.7727272727272727
missing_values,0.05,LightGbmTuned,drawdown_lift,550,0,240,0,310,0.43636363636363634,0.0,0.43636363636363634
