corruption_type,rate,model,metric,delta_mean,delta_ci_low,delta_ci_high,wilcoxon_pvalue,n_pairs
stale_quotes,0.05,LightGbmTuned,auc,-0.010789448583730082,-0.01873660405972156,-0.0032547602165472604,5.3787610514033586e-05,225
stale_quotes,0.05,LightGbmTuned,pr_auc,0.0031304190317156242,-0.0022876321440247153,0.009226560458520707,0.018240921464883944,225
stale_quotes,0.05,LightGbmTuned,brier,0.0015995144145214974,0.0006189703723513394,0.00258687812124675,8.307072269396441e-05,450
stale_quotes,0.05,LightGbmTuned,drawdown_lift,-0.24782246763540755,-0.3141288418851994,-0.18382522245602093,7.457603960247752e-07,285
stale_quotes,0.05,LightGbmTuned,alarm_rate,0.004685612549018096,0.002315277030210133,0.0072184685320546465,0.004438674872645993,450
stale_quotes,0.1,LogisticRegressionL2,auc,0.017410332011927307,0.009133752076118362,0.025997562724712764,0.0033505593733718217,225
stale_quotes,0.1,LogisticRegressionL2,pr_auc,-0.00033640434220818036,-0.007550256995402016,0.006833439392506652,0.6805020208272947,225
stale_quotes,0.1,LogisticRegressionL2,brier,0.002501311515029231,-0.001380627180300158,0.00634407106819501,0.002492856729657105,450
stale_quotes,0.1,LogisticRegressionL2,drawdown_lift,0.022025452251776084,-0.036482524044830864,0.08298990683171703,0.6725629482477742,335
stale_quotes,0.1,LogisticRegressionL2,alarm_rate,0.008123046287965303,0.0038421243974839964,0.012480067646410811,2.1385970882258285e-06,450
stale_quotes,0.1,LightGbmTuned,auc,-0.015145631025919492,-0.02489695408121025,-0.005754168944546934,0.2781432819948234,225
stale_quotes,0.1,LightGbmTuned,pr_auc,0.0049650894913689375,-0.004437024473428499,0.014108586255141976,0.4914514959393851,225
stale_quotes,0.1,LightGbmTuned,brier,0.0029306318122094893,0.0008061053084797365,0.0052778007235637706,0.27192455711175667,450
stale_quotes,0.1,LightGbmTuned,drawdown_lift,-0.14309416548905982,-0.2240600807708952,-0.06045632575226257,0.010282104240271714,295
stale_quotes,0.1,LightGbmTuned,alarm_rate,0.00788386784254635,0.004427537542582807,0.011689638721754322,0.00601477078483904,450
extreme_jumps,0.01,LogisticRegressionL2,auc,0.0023438711808152707,-0.0031388319853390538,0.007505943105870564,0.003303703822439419,225
extreme_jumps,0.01,LogisticRegressionL2,pr_auc,0.0016965407371417392,-0.002934539713090437,0.006365173769680889,0.5397116625801118,225
extreme_jumps,0.01,LogisticRegressionL2,brier,0.002490142252125921,0.0002391438433601569,0.004697033280173323,0.005626429348176994,450
extreme_jumps,0.01,LogisticRegressionL2,drawdown_lift,-0.048850329675007284,-0.10351888880018927,0.006649461806187723,0.02469530213379484,345
extreme_jumps,0.01,LogisticRegressionL2,alarm_rate,-0.0021755838395754548,-0.005170212053629914,0.0007039071734677455,0.1436079094416043,450
extreme_jumps,0.01,LightGbmTuned,auc,-0.011084109768453127,-0.016676060086588215,-0.005465789227521068,1.0454009975472704e-06,225
extreme_jumps,0.01,LightGbmTuned,pr_auc,0.0002511137102798422,-0.003771544398366302,0.004407836472046259,0.1557580266323654,225
extreme_jumps,0.01,LightGbmTuned,brier,0.0029051025747187393,0.001450327182260339,0.004435763216548777,0.02198817970424322,450
extreme_jumps,0.01,LightGbmTuned,drawdown_lift,-0.2621002225728308,-0.3211071709056519,-0.20290457397954145,8.296245625088458e-12,280
extreme_jumps,0.01,LightGbmTuned,alarm_rate,0.004733993413088753,0.0026188637414114656,0.0069549014977875676,0.0011502428555584068,450
extreme_jumps,0.05,LogisticRegressionL2,auc,0.03681221154804268,0.019491063016147465,0.05466539122765265,0.007639368950461564,225
extreme_jumps,0.05,LogisticRegressionL2,pr_auc,0.0006110066937803997,-0.012737204210340523,0.013489018844572995,0.09288693145676179,225
extreme_jumps,0.05,LogisticRegressionL2,brier,0.0217454976298381,0.015498441068511882,0.027798427342419597,2.5846967523881882e-23,450
extreme_jumps,0.05,LogisticRegressionL2,drawdown_lift,0.07129325779442981,-0.05537208214982144,0.19846987802734076,0.8774281751758168,330
extreme_jumps,0.05,LogisticRegressionL2,alarm_rate,0.0033151143812040693,-0.0014860579451716758,0.008075032786484847,0.011617381551562746,450
extreme_jumps,0.05,LightGbmTuned,auc,-0.028980920739031114,-0.042729369380942434,-0.014706842017641032,0.000499618747616131,225
extreme_jumps,0.05,LightGbmTuned,pr_auc,-0.008942396731028167,-0.019808551715675148,0.0017945241855469281,0.056062638379117756,225
extreme_jumps,0.05,LightGbmTuned,brier,0.01567257580066581,0.012512546183679129,0.019051622966488796,1.2011582819420135e-19,450
extreme_jumps,0.05,LightGbmTuned,drawdown_lift,-0.1860847384788005,-0.317449504242035,-0.05560733944698411,0.008683504770032716,265
extreme_jumps,0.05,LightGbmTuned,alarm_rate,0.0006200835685549134,-0.00445637655287912,0.00633742706763723,0.014713290819739568,450
extreme_jumps,0.1,LogisticRegressionL2,auc,0.04614910835354639,0.027990918992750108,0.06524228806790489,0.0010327950390096644,225
extreme_jumps,0.1,LogisticRegressionL2,pr_auc,-0.0018359642092820848,-0.013701609983152578,0.010212070467535642,0.3558488797048004,225
extreme_jumps,0.1,LogisticRegressionL2,brier,0.021264845825945185,0.015220269129990934,0.027504722623246273,9.981014608385719e-19,450
extreme_jumps,0.1,LogisticRegressionL2,drawdown_lift,0.0155948113068795,-0.0842802405895501,0.1153426759741438,0.40233632428204624,330
extreme_jumps,0.1,LogisticRegressionL2,alarm_rate,0.01098812103606848,0.004113935686168871,0.018392922931157137,0.09549995275032845,450
extreme_jumps,0.1,LightGbmTuned,auc,-0.045854395693760895,-0.06138392457775867,-0.03166025791899556,1.2650243092116408e-08,225
extreme_jumps,0.1,LightGbmTuned,pr_auc,-0.00631740560448307,-0.020562171161685284,0.009433771517352446,0.00023755890291872418,225
