asset,stress_def,drift_metric,operational_metric,spearman_rho,p_value,n_pairs
ndx,h10_d05,mean_psi,alarm_rate_gap_abs,0.18634563867431203,1.4318711611167166e-06,660
ndx,h10_d05,mean_psi,alarm_rate_gap_signed,0.009906550910275065,0.7994741591522762,660
ndx,h10_d05,max_psi,auc,-0.026771062838022972,0.5253987707400679,565
ndx,h10_d05,max_psi,pr_auc,0.2080238929161732,6.088357489268875e-07,565
ndx,h10_d05,max_psi,drawdown_lift,-0.032983025150452275,0.6886500894198598,150
ndx,h10_d05,max_psi,alarm_rate,-0.004141963096106386,0.9154175568573977,660
ndx,h10_d05,max_psi,alarm_rate_gap_abs,0.011230271075010095,0.7733673528694315,660
ndx,h10_d05,max_psi,alarm_rate_gap_signed,-0.004141963096106386,0.9154175568573977,660
ndx,h10_d05,mean_kl,auc,-0.05767664469702698,0.17097993839537973,565
ndx,h10_d05,mean_kl,pr_auc,0.11841718825953138,0.004825861828365803,565
ndx,h10_d05,mean_kl,drawdown_lift,0.36056953344746134,5.828096774683032e-06,150
ndx,h10_d05,mean_kl,alarm_rate,0.012831545467834729,0.7421276921306992,660
ndx,h10_d05,mean_kl,alarm_rate_gap_abs,0.18389035127198092,1.975756363586963e-06,660
ndx,h10_d05,mean_kl,alarm_rate_gap_signed,0.012831545467834729,0.7421276921306992,660
ndx,h10_d05,max_kl,auc,-0.05487159999021299,0.19278793254031776,565
ndx,h10_d05,max_kl,pr_auc,0.20982285640774628,4.840900225201774e-07,565
ndx,h10_d05,max_kl,drawdown_lift,-0.03253427650894952,0.6926707721000532,150
ndx,h10_d05,max_kl,alarm_rate,-0.0122337363611802,0.7537440766605671,660
ndx,h10_d05,max_kl,alarm_rate_gap_abs,0.009330092128858198,0.8109154157755207,660
ndx,h10_d05,max_kl,alarm_rate_gap_signed,-0.0122337363611802,0.7537440766605671,660
ndx,h10_d05,n_high_drift,auc,-0.09010567862486661,0.03224165454952129,565
ndx,h10_d05,n_high_drift,pr_auc,0.034242603201225574,0.416577600375609,565
ndx,h10_d05,n_high_drift,drawdown_lift,0.5461343293525166,4.887947408842089e-13,150
ndx,h10_d05,n_high_drift,alarm_rate,0.0760582527202531,0.050808020033913354,660
ndx,h10_d05,n_high_drift,alarm_rate_gap_abs,0.30854714886854806,5.04530318172118e-16,660
ndx,h10_d05,n_high_drift,alarm_rate_gap_signed,0.0760582527202531,0.050808020033913354,660
ndx,h20_d07,mean_psi,auc,-0.0701153880443832,0.11556144067484934,505
ndx,h20_d07,mean_psi,pr_auc,0.2575751058814866,4.271406294672439e-09,505
ndx,h20_d07,mean_psi,drawdown_lift,0.26251795527911,0.0011728872172836933,150
ndx,h20_d07,mean_psi,alarm_rate,0.04336345574946634,0.2659494802575912,660
ndx,h20_d07,mean_psi,alarm_rate_gap_abs,0.10190732362983891,0.008795365030877208,660
ndx,h20_d07,mean_psi,alarm_rate_gap_signed,0.04336345574946634,0.2659494802575912,660
ndx,h20_d07,max_psi,auc,-0.04796537267986779,0.282000647463186,505
ndx,h20_d07,max_psi,pr_auc,0.3405699407365851,3.520875717802494e-15,505
ndx,h20_d07,max_psi,drawdown_lift,0.0031412404905192645,0.9695677376771245,150
ndx,h20_d07,max_psi,alarm_rate,0.017849260958421397,0.6471514277991923,660
ndx,h20_d07,max_psi,alarm_rate_gap_abs,-0.06605934617865526,0.08993685401109229,660
ndx,h20_d07,max_psi,alarm_rate_gap_signed,0.017849260958421397,0.6471514277991923,660
ndx,h20_d07,mean_kl,auc,-0.08998370610510541,0.043256666563455254,505
ndx,h20_d07,mean_kl,pr_auc,0.27024660744940965,6.691344500112102e-10,505
ndx,h20_d07,mean_kl,drawdown_lift,0.26251795527911,0.0011728872172836933,150
ndx,h20_d07,mean_kl,alarm_rate,0.0483381899639546,0.21490082755334017,660
ndx,h20_d07,mean_kl,alarm_rate_gap_abs,0.09671908150914943,0.012923212474196593,660
ndx,h20_d07,mean_kl,alarm_rate_gap_signed,0.0483381899639546,0.21490082755334017,660
ndx,h20_d07,max_kl,auc,-0.08419170525701501,0.058672061197712885,505
ndx,h20_d07,max_kl,pr_auc,0.3564268197704778,1.42336457122895e-16,505
ndx,h20_d07,max_kl,drawdown_lift,0.004936235056530272,0.9521947371758861,150
ndx,h20_d07,max_kl,alarm_rate,0.01342964730005629,0.7305639786148199,660
ndx,h20_d07,max_kl,alarm_rate_gap_abs,-0.07299835313019469,0.060888003440260755,660
ndx,h20_d07,max_kl,alarm_rate_gap_signed,0.01342964730005629,0.7305639786148199,660
ndx,h20_d07,n_high_drift,auc,-0.08967661889883749,0.04397832024589403,505
ndx,h20_d07,n_high_drift,pr_auc,0.08264186231073681,0.06349375123774734,505
ndx,h20_d07,n_high_drift,drawdown_lift,0.40813703650835315,2.1672391672161489e-07,150
ndx,h20_d07,n_high_drift,alarm_rate,0.1129250232466494,0.003673777475375417,660
ndx,h20_d07,n_high_drift,alarm_rate_gap_abs,0.22776987974429241,3.2511421423837315e-09,660
ndx,h20_d07,n_high_drift,alarm_rate_gap_signed,0.1129250232466494,0.003673777475375417,660
ndx,h5_d03,mean_psi,auc,-0.12721029689685479,0.0013760894446634814,630
ndx,h5_d03,mean_psi,pr_auc,0.02163919790313251,0.5877328150243565,630
ndx,h5_d03,mean_psi,drawdown_lift,0.04930887566319658,0.5700787787202125,135
ndx,h5_d03,mean_psi,alarm_rate,0.05104771614570292,0.19026090669234963,660
ndx,h5_d03,mean_psi,alarm_rate_gap_abs,0.15314314843710877,7.809080787164155e-05,660
ndx,h5_d03,mean_psi,alarm_rate_gap_signed,0.05104771614570292,0.19026090669234963,660
ndx,h5_d03,max_psi,auc,-0.16889135385851586,2.0317788277392493e-05,630
ndx,h5_d03,max_psi,pr_auc,0.11743904407378657,0.00315657568385171,630
ndx,h5_d03,max_psi,drawdown_lift,-0.2933878101960196,0.0005534036165518398,135
ndx,h5_d03,max_psi,alarm_rate,0.024923558274970812,0.5227036589013663,660
ndx,h5_d03,max_psi,alarm_rate_gap_abs,-0.018031227262267017,0.6438015892828863,660
ndx,h5_d03,max_psi,alarm_rate_gap_signed,0.024923558274970812,0.5227036589013663,660
ndx,h5_d03,mean_kl,auc,-0.12952189797618432,0.0011210083706659627,630
ndx,h5_d03,mean_kl,pr_auc,0.03244978802959338,0.4161722869732269,630
ndx,h5_d03,mean_kl,drawdown_lift,0.04930887566319658,0.5700787787202125,135
ndx,h5_d03,mean_kl,alarm_rate,0.0539158151800216,0.166510639897672,660
ndx,h5_d03,mean_kl,alarm_rate_gap_abs,0.15014164944770553,0.00010800553852492219,660
ndx,h5_d03,mean_kl,alarm_rate_gap_signed,0.0539158151800216,0.166510639897672,660
ndx,h5_d03,max_kl,auc,-0.19738906091462557,5.920248572902138e-07,630
ndx,h5_d03,max_kl,pr_auc,0.09783584064447086,0.014022779165810071,630
ndx,h5_d03,max_kl,drawdown_lift,-0.25887159723178205,0.0024317994423149218,135
ndx,h5_d03,max_kl,alarm_rate,0.018609293734300238,0.633207969913476,660
ndx,h5_d03,max_kl,alarm_rate_gap_abs,-0.02318935885887115,0.5520466311543583,660
ndx,h5_d03,max_kl,alarm_rate_gap_signed,0.018609293734300238,0.633207969913476,660
ndx,h5_d03,n_high_drift,auc,0.07256116872833415,0.06875083450971324,630
ndx,h5_d03,n_high_drift,pr_auc,0.04718699403906292,0.2369316729055597,630
ndx,h5_d03,n_high_drift,drawdown_lift,0.28224428077600805,0.0009112494993936471,135
ndx,h5_d03,n_high_drift,alarm_rate,0.11161767470247012,0.004091102232386439,660
ndx,h5_d03,n_high_drift,alarm_rate_gap_abs,0.29030928312632803,2.7728913721359992e-14,660
ndx,h5_d03,n_high_drift,alarm_rate_gap_signed,0.11161767470247012,0.004091102232386439,660
rut,h10_d05,mean_psi,auc,-0.20059636223555885,7.278574073575049e-07,600
rut,h10_d05,mean_psi,pr_auc,0.11890532243617025,0.0035358096304031568,600
rut,h10_d05,mean_psi,drawdown_lift,0.3187761191545454,7.3763164225653924e-06,190
rut,h10_d05,mean_psi,alarm_rate,0.037070478448775146,0.34166559768053684,660
rut,h10_d05,mean_psi,alarm_rate_gap_abs,0.26937358242444176,1.9542336735831833e-12,660
rut,h10_d05,mean_psi,alarm_rate_gap_signed,0.037070478448775146,0.34166559768053684,660
rut,h10_d05,max_psi,auc,-0.08526495363733679,0.03679742214389824,600
rut,h10_d05,max_psi,pr_auc,0.03416963476323629,0.4034473347759468,600
rut,h10_d05,max_psi,drawdown_lift,0.18581538003803383,0.010264780062537854,190
rut,h10_d05,max_psi,alarm_rate,-0.0005489018490564275,0.9887702938912389,660
rut,h10_d05,max_psi,alarm_rate_gap_abs,0.17643273719670885,5.118658973962457e-06,660
rut,h10_d05,max_psi,alarm_rate_gap_signed,-0.0005489018490564275,0.9887702938912389,660
rut,h10_d05,mean_kl,auc,-0.15530850309419758,0.00013370480590491857,600
rut,h10_d05,mean_kl,pr_auc,0.1780033537452352,1.1537082279930507e-05,600
rut,h10_d05,mean_kl,drawdown_lift,0.30449108106764744,1.943453412348882e-05,190
rut,h10_d05,mean_kl,alarm_rate,0.06610346553636691,0.08972201288280435,660
rut,h10_d05,mean_kl,alarm_rate_gap_abs,0.2783716520214739,3.280149792268252e-13,660
rut,h10_d05,mean_kl,alarm_rate_gap_signed,0.06610346553636691,0.08972201288280435,660
rut,h10_d05,max_kl,auc,-0.00489259420086729,0.9048044599409257,600
rut,h10_d05,max_kl,pr_auc,0.010659757853488244,0.7944221388341048,600
rut,h10_d05,max_kl,drawdown_lift,0.1884526178386919,0.009217729200349429,190
rut,h10_d05,max_kl,alarm_rate,-0.017760895544468688,0.6487807385317611,660
rut,h10_d05,max_kl,alarm_rate_gap_abs,0.17788340636921507,4.266403205812445e-06,660
rut,h10_d05,max_kl,alarm_rate_gap_signed,-0.017760895544468688,0.6487807385317611,660
rut,h10_d05,n_high_drift,auc,-0.2636105826251561,5.3796916815486994e-11,600
rut,h10_d05,n_high_drift,pr_auc,0.20949979122896709,2.2361773617015881e-07,600
rut,h10_d05,n_high_drift,drawdown_lift,0.4577307033334747,3.142783669961233e-11,190
rut,h10_d05,n_high_drift,alarm_rate,0.08369852812690617,0.03155903884112996,660
