stress_def,model,metric,std,ci_low,ci_high,n_folds_valid
h20_d07,HarRvThreshold,pr_auc,0.11965600336495169,0.08327312875077182,0.13404636267211387,10
h20_d07,LightGbmTuned,pr_auc,0.13706876513683616,0.0860296303743419,0.16460426534747283,9
h20_d07,LogisticRegressionL2,pr_auc,0.1429732493788779,0.08685369263593734,0.17650303131950787,9
h20_d07,NaiveBaseRate,pr_auc,0.13034150773298622,0.09003172851745649,0.15942759567078033,12
h20_d07,VIXPercentileCalibrated,pr_auc,0.10954198382419608,0.08136530376963105,0.12307664992506014,12
h20_d07,VIXPercentileRaw,pr_auc,0.10774541967765905,0.0797191957828477,0.12048452011789398,12
h5_d03,HarRvThreshold,pr_auc,0.1416143910077752,0.09767944439099518,0.16664943315941316,19
h5_d03,LightGbmTuned,pr_auc,0.1070898716713206,0.07140478142283763,0.12190122069082031,14
h5_d03,LogisticRegressionL2,pr_auc,0.11917465012144289,0.07191816544127813,0.14957779130353596,14
h5_d03,NaiveBaseRate,pr_auc,0.09370123416097006,0.05110524385520001,0.11597979654407323,19
h5_d03,VIXPercentileCalibrated,pr_auc,0.1069966701353558,0.07449837925001075,0.12530493683788987,19
h5_d03,VIXPercentileRaw,pr_auc,0.11366280686259607,0.07158072935086182,0.1475463680457629,19
h10_d05,HarRvThreshold,brier,0.11084281210762933,0.06928177941904518,0.13489069871760156,22
h10_d05,LightGbmTuned,brier,0.07592392212536575,0.05373604089755598,0.09313146363409495,18
h10_d05,LogisticRegressionL2,brier,0.12562924659466718,0.07132530635707848,0.17168116564871133,18
h10_d05,NaiveBaseRate,brier,0.09006261082582151,0.05411529129566735,0.11340179789508409,22
h10_d05,VIXPercentileCalibrated,brier,0.08682171236526746,0.05470903196443046,0.1084923967603249,22
h10_d05,VIXPercentileRaw,brier,0.19576502362124848,0.1410298252004076,0.236173875160624,22
h20_d07,HarRvThreshold,brier,0.13803983731504751,0.08702152472634019,0.16312110691210543,22
h20_d07,LightGbmTuned,brier,0.1184130952852806,0.06535807587104979,0.1568034427704545,18
h20_d07,LogisticRegressionL2,brier,0.16878224889588367,0.0869970867026849,0.21678386639175404,18
h20_d07,NaiveBaseRate,brier,0.10987170345506109,0.06992183007079114,0.1361763478700639,22
h20_d07,VIXPercentileCalibrated,brier,0.10817541133936051,0.06934333273144738,0.1327878688042065,22
h20_d07,VIXPercentileRaw,brier,0.19865336311768608,0.14437189821043628,0.2411501380949986,22
h5_d03,HarRvThreshold,brier,0.10067745738673563,0.061481978306509734,0.12375267225396025,22
h5_d03,LightGbmTuned,brier,0.09574946563169358,0.0719926736434624,0.1116532951261095,18
h5_d03,LogisticRegressionL2,brier,0.11108653253953976,0.07944559924639223,0.13818220656833885,18
h5_d03,NaiveBaseRate,brier,0.07930242144424468,0.04818045132104544,0.09833944370583207,22
h5_d03,VIXPercentileCalibrated,brier,0.07043717172526372,0.04706237274078256,0.08562880035532947,22
h5_d03,VIXPercentileRaw,brier,0.18297644842799746,0.1296101669151083,0.22216609857740252,22
h10_d05,HarRvThreshold,ece,0.0973817017960309,0.06051100191322282,0.11862444587992381,22
h10_d05,LightGbmTuned,ece,0.11217838509801728,0.07426979958074502,0.14018878860771616,18
h10_d05,LogisticRegressionL2,ece,0.14645524440642704,0.07887312490935064,0.20402867740103495,18
h10_d05,NaiveBaseRate,ece,0.06499148407872898,0.03006960445625548,0.08820243532090863,22
h10_d05,VIXPercentileCalibrated,ece,0.055791931612566584,0.03530625492764758,0.07103374259043697,22
h10_d05,VIXPercentileRaw,ece,0.19761648460794728,0.13034808133846415,0.24770484311249738,22
h20_d07,HarRvThreshold,ece,0.12664411153193975,0.08035584155186366,0.14998324146218128,22
h20_d07,LightGbmTuned,ece,0.15443639452516825,0.11442153662962237,0.18066155143988435,18
h20_d07,LogisticRegressionL2,ece,0.17012105229932473,0.09092792292973827,0.21883266500815698,18
h20_d07,NaiveBaseRate,ece,0.08099476156510055,0.0443338778335095,0.11039358546039582,22
h20_d07,VIXPercentileCalibrated,ece,0.08542269226847093,0.04206718322376336,0.12006734885904807,22
h20_d07,VIXPercentileRaw,ece,0.1986243375434463,0.12751066443221032,0.2506389581544899,22
h5_d03,HarRvThreshold,ece,0.09457679966836345,0.056913009855780065,0.11560676423519763,22
h5_d03,LightGbmTuned,ece,0.11256590758712606,0.08464416665132005,0.13117736610485578,18
h5_d03,LogisticRegressionL2,ece,0.10935869434904878,0.07111821720486523,0.13387236419619294,18
h5_d03,NaiveBaseRate,ece,0.06051804707187673,0.029156643841865067,0.07910128916842382,22
h5_d03,VIXPercentileCalibrated,ece,0.036796618719659516,0.026134512740278646,0.045103604940631065,22
h5_d03,VIXPercentileRaw,ece,0.18531861894593493,0.12089635351378414,0.23265052601682737,22
h10_d05,HarRvThreshold,alarm_rate,0.13773899898649342,0.04190888603289872,0.2101404929918177,22
h10_d05,LightGbmTuned,alarm_rate,0.03939032293458881,0.021332821695643423,0.055970403349281696,18
h10_d05,LogisticRegressionL2,alarm_rate,0.07325843898179227,0.04027200776885232,0.10063834875410026,18
h10_d05,NaiveBaseRate,alarm_rate,0.0,0.0,0.0,22
h10_d05,VIXPercentileCalibrated,alarm_rate,0.11626522698248568,0.005308665187986318,0.19149691061844923,22
h10_d05,VIXPercentileRaw,alarm_rate,0.1430873178611366,0.0188377566311929,0.2330275899077463,22
h20_d07,HarRvThreshold,alarm_rate,0.13773899898649342,0.04190888603289872,0.2101404929918177,22
h20_d07,LightGbmTuned,alarm_rate,0.11822272850281151,0.04495876569718889,0.16870288435856265,18
h20_d07,LogisticRegressionL2,alarm_rate,0.14715315817602823,0.041855682820636834,0.20146278966226525,18
h20_d07,NaiveBaseRate,alarm_rate,0.0,0.0,0.0,22
h20_d07,VIXPercentileCalibrated,alarm_rate,0.11640282007677008,0.0017333391573626843,0.19188007256192713,22
h20_d07,VIXPercentileRaw,alarm_rate,0.1430873178611366,0.0188377566311929,0.2330275899077463,22
h5_d03,HarRvThreshold,alarm_rate,0.13773899898649342,0.04190888603289872,0.2101404929918177,22
h5_d03,LightGbmTuned,alarm_rate,0.09358524410005908,0.0359812067752417,0.13480653220392275,18
