stress_def,model,metric,mean,ci_low,ci_high,n_folds_total,n_folds_valid
h5_d03,VIXPercentileCalibrated,alarm_precision,0.08582089552238804,0.0,0.25746268656716415,22,4
h5_d03,VIXPercentileRaw,alarm_precision,0.15828431372549018,0.07333333333333333,0.25080269607843136,22,10
h10_d05,HarRvThreshold,drawdown_lift,0.7677856743738826,0.5085901659840234,1.0680552390308165,22,11
h10_d05,LightGbmTuned,drawdown_lift,1.3024919485635689,0.8327916887493987,1.8358825848303735,22,12
h10_d05,LogisticRegressionL2,drawdown_lift,1.046640308337997,0.6979744120476906,1.4683633118332509,22,14
h10_d05,NaiveBaseRate,drawdown_lift,,,,22,0
h10_d05,VIXPercentileCalibrated,drawdown_lift,0.5725139693992064,0.2284287539464897,0.9292803004790123,22,5
h10_d05,VIXPercentileRaw,drawdown_lift,0.5181843352901512,0.36755989813053686,0.6859748938910695,22,10
h20_d07,HarRvThreshold,drawdown_lift,0.6483612305953858,0.42145830173570553,0.8922972657610039,22,11
h20_d07,LightGbmTuned,drawdown_lift,1.3708280303329532,0.7765062057400087,2.2137422749694387,22,7
h20_d07,LogisticRegressionL2,drawdown_lift,0.8949191803681916,0.6830264078820558,1.1403552049764996,22,11
h20_d07,NaiveBaseRate,drawdown_lift,,,,22,0
h20_d07,VIXPercentileCalibrated,drawdown_lift,0.6007040268464341,0.23834516276510984,0.8732580444170828,22,4
h20_d07,VIXPercentileRaw,drawdown_lift,0.3652588264958324,0.24614351353095834,0.5106894315358147,22,10
h5_d03,HarRvThreshold,drawdown_lift,0.8239859835303924,0.6413361579778215,0.9903783088434147,22,11
h5_d03,LightGbmTuned,drawdown_lift,1.7499755345493866,0.6739438525663575,3.031757673726911,22,10
h5_d03,LogisticRegressionL2,drawdown_lift,1.3836948542810767,0.9340096584872093,1.8402859450486613,22,11
h5_d03,NaiveBaseRate,drawdown_lift,,,,22,0
h5_d03,VIXPercentileCalibrated,drawdown_lift,1.6721941767612711,0.433750277011107,3.583755312934486,22,4
h5_d03,VIXPercentileRaw,drawdown_lift,0.7164128373188366,0.5467907030423782,0.9201844249844163,22,10
h10_d05,HarRvThreshold,severity_lift,0.9947526069483981,0.8675360312324895,1.1018994835646165,22,5
h10_d05,LightGbmTuned,severity_lift,1.2108315875238265,0.8749735004765707,1.481215671646498,22,3
h10_d05,LogisticRegressionL2,severity_lift,0.9754861827439704,0.918533655273613,1.025287625334537,22,4
h10_d05,NaiveBaseRate,severity_lift,,,,22,0
h10_d05,VIXPercentileCalibrated,severity_lift,1.1802004648402038,1.1802004648402038,1.1802004648402038,22,1
h10_d05,VIXPercentileRaw,severity_lift,0.8255896700290472,0.6331566711340683,1.0945191301680006,22,3
h20_d07,HarRvThreshold,severity_lift,0.9775412393443833,0.9081005992154095,1.0417282244921107,22,5
h20_d07,LightGbmTuned,severity_lift,1.1199111558238841,0.928946680190341,1.3108756314574272,22,2
h20_d07,LogisticRegressionL2,severity_lift,1.0056702705184652,0.8695468915405324,1.1586699710551436,22,4
h20_d07,NaiveBaseRate,severity_lift,,,,22,0
h20_d07,VIXPercentileCalibrated,severity_lift,1.0146346517378058,1.0146346517378058,1.0146346517378058,22,1
h20_d07,VIXPercentileRaw,severity_lift,1.0632940319494544,1.0632940319494544,1.0632940319494544,22,1
h5_d03,HarRvThreshold,severity_lift,0.8582082920001397,0.7633541430131416,0.9529319775997389,22,8
h5_d03,LightGbmTuned,severity_lift,1.0864955807916656,0.9015434097236433,1.3375868123915071,22,5
h5_d03,LogisticRegressionL2,severity_lift,1.0496358816933469,0.9075980969173268,1.2487912556900007,22,7
h5_d03,NaiveBaseRate,severity_lift,,,,22,0
h5_d03,VIXPercentileCalibrated,severity_lift,1.1059215257073003,1.1059215257073003,1.1059215257073003,22,1
h5_d03,VIXPercentileRaw,severity_lift,0.8279138736529946,0.7344880618151641,0.9290105569731844,22,6
